"Date","home_sp_id","away_sp_id","game_id","home","away","G","home_score","home_rpg_before","away_score","away_rpg_before","home_rapg_before","away_rapg_before","home_slg_pct_before","away_slg_pct_before","home_hh_pg_before","home_bip_pg_before","home_hh_pct_before","away_hh_pg_before","away_bip_pg_before","away_hh_pct_before","home_hh_last_10","away_hh_last_10","a_ml","h_ml","total","o_price","u_price","h_imp_prob","a_imp_prob","h_nv_prob","a_nv_prob","o_imp_prob","u_imp_prob","o_nv_prob","u_nv_prob","h_cover","actual_total","tot_over","away_sp_hh_pct_before","home_sp_hh_pct_before","away_sp_hh_last_3","home_sp_hh_last_3","home_score_pred1"
2021-07-23,21318,13361,"2021-07-23-TOR-NYM-1","NYM","TOR",1,3,4.369047619,0,5.420454545,4.19047619,4.511363636,0.399230231,0.454198473,9.80952381,25.47619048,0.385046729,11.46590909,27.46590909,0.417459661,0.393589365,0.397221177,-103,-107,9,-105,-115,0.516908212560386,0.507389162561576,0.504646624227499,0.495353375772501,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,3,0,0.382075471698113,0.4,0.355555555555556,0.32962962962963,4.49345446399715
2021-07-23,21455,7738,"2021-07-23-DET-KCR-1","KCR","DET",1,5,4.27173913,3,4.548387097,5.282608696,5.096774194,0.390391346,0.395859085,10.30434783,26.38043478,0.390605686,9.440860215,24.94623656,0.378448276,0.353109519,0.37348578,104,-114,10.5,-105,-115,0.532710280373832,0.490196078431373,0.520781082049445,0.479218917950555,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,8,0,0.369565217391304,0.436274509803922,0.40983832129343,0.351851851851852,5.21980445107847
2021-07-24,9132,11674,"2021-07-24-NYY-BOS-1","BOS","NYY",1,3,5.239583333,4,4.29787234,4.552083333,4.234042553,0.444577591,0.395590551,11.09375,26.33333333,0.421281646,10.34042553,24.61702128,0.420051858,0.461679403,0.372651733,157,-167,9,-115,-105,0.625468164794007,0.389105058365759,0.616484005803014,0.383515994196987,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,7,0,0.403636363636364,0.333333333333333,0.404901960784314,0.241865079365079,4.73883294896047
2021-07-24,11189,11760,"2021-07-24-ATL-PHI-1","PHI","ATL",1,3,4.655913978,15,5.010869565,4.892473118,4.641304348,0.411379987,0.440366972,9.279569892,24.58064516,0.377515311,10.35869565,24.79347826,0.417799211,0.312561677,0.382855711,112,-122,10.5,-110,-110,0.54954954954955,0.471698113207547,0.538115845539281,0.461884154460719,0.523809523809524,0.523809523809524,0.5,0.5,0,18,1,0.395833333333333,0.416666666666667,0.249494949494949,0.488215488215488,4.40634210734067
2021-07-24,11713,4930,"2021-07-24-WSN-BAL-1","BAL","WSN",1,5,4.333333333,3,4.52173913,5.741935484,4.72826087,0.394484041,0.430971993,9.268817204,25.87096774,0.358270989,10.63043478,25.34782609,0.419382504,0.392304458,0.369451373,-131,121,11,-105,-115,0.452488687782805,0.567099567099567,0.443795508251523,0.556204491748478,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,8,0,0.384279475982533,0.376306620209059,0.377436647173489,0.340497076023392,4.48153025740211
2021-07-24,11836,14444,"2021-07-24-TOR-NYM-1","NYM","TOR",1,3,4.352941176,10,5.471910112,4.258823529,4.494382022,0.399792674,0.459340659,9.882352941,25.51764706,0.387275242,11.52808989,27.58426966,0.417922607,0.401142731,0.399100876,-116,106,8.5,-115,-105,0.485436893203884,0.537037037037037,0.474767012484614,0.525232987515386,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,13,1,0.417197452229299,0.417322834645669,0.588235294117647,0.374074074074074,4.50622498700347
2021-07-24,13834,11156,"2021-07-24-ARI-CHC-1","CHC","ARI",1,2,4.195876289,7,4.214285714,4.432989691,5.663265306,0.405493787,0.392824002,9.329896907,22.77319588,0.409687641,9.183673469,25,0.367346939,0.442331012,0.364446292,158,-168,11,100,-120,0.626865671641791,0.387596899224806,0.617928832116788,0.382071167883212,0.5,0.545454545454545,0.478260869565217,0.521739130434783,0,9,0,0.406914893617021,0.388888888888889,0.4375,0.349924585218703,5.35858107913436
2021-07-24,14107,19800,"2021-07-24-PIT-SFG-1","SFG","PIT",1,2,4.978947368,10,3.85106383,3.768421053,5.095744681,0.452757175,0.383676093,9.778947368,24.25263158,0.403211806,8.595744681,25.70212766,0.334437086,0.378714055,0.369191448,234,-264,8,100,-120,0.725274725274725,0.29940119760479,0.707808887747239,0.292191112252761,0.5,0.545454545454545,0.478260869565217,0.521739130434783,0,12,1,0.373737373737374,0.372822299651568,0.358333333333333,0.461038961038961,5.01492807521564
2021-07-24,14168,19447,"2021-07-24-LAA-MIN-1","MIN","LAA",1,1,4.849462366,2,4.852631579,5.569892473,5.221052632,0.426015767,0.437709412,11.24731183,26.80645161,0.419574809,9.715789474,26.18947368,0.370980707,0.43609051,0.371874438,116,-126,9,-110,-110,0.557522123893805,0.462962962962963,0.546330496226112,0.453669503773888,0.523809523809524,0.523809523809524,0.5,0.5,0,3,0,0.340782122905028,0.382671480144404,0.306349206349206,0.35952380952381,5.69924470578202
2021-07-24,15689,18674,"2021-07-24-STL-CIN-1","CIN","STL",1,5,4.701030928,3,4.020833333,4.948453608,4.4375,0.427342256,0.397807866,9.432989691,24.21649485,0.389527458,9.583333333,24.94791667,0.384133612,0.342649402,0.397339233,163,-176,9.5,100,-120,0.63768115942029,0.380228136882129,0.626461671719359,0.373538328280641,0.5,0.545454545454545,0.478260869565217,0.521739130434783,1,8,0,0.414414414414414,0.383233532934132,0.573809523809524,0.35515873015873,4.27988840213251
